STT,Link Tiktok,Link Tiktok,ID Tiktok,Booking Expense,Segment,Category,Type,Cost,"Extra/FOC 
(SHDA + hashtag)","Tổng Cast 
(Đã bao gồm thuế)",Booking Expense,Followers,GMV / Month,Contact,Tình trạng hợp tác,MCN note ,,,   ,Link Tiktok,ID Tiktok,Booking Expense,Segment,Concept,Type,Followers,GMV / Month,Meta Ecom note,Brand Pick,Brand note,Khu vực,Product Focus
#REF!,https://www.tiktok.com/@tomiemagical,,tomiemagical,"8,500,000",Massive KOC,Beauty,Video,"5,000,000",,"5,555,556","9,259,259","194,7k",0,,,,,,,,,,,,,,,,,,
#REF!,https://www.tiktok.com/@chuliemeomeo22807,,chuliemeomeo22807,"25,000,000",Top KOC,Beauty,Video,"14,000,000","2,000,000","17,777,778","29,629,630",198K,300M,,,,,,,,,,,,,,,,,,
#REF!,https://www.tiktok.com/@jenna.anhphuong,,jenna.anhphuong,"27,000,000",Top KOC,Beauty,Video,"20,000,000",,"22,222,222","37,037,037","351,1k","₫2,04tr",,,,,,,,,,,,,,,,,,
#REF!,https://www.tiktok.com/@vu_dieuthuy_,,vu_dieuthuy_,"40,000,000",Top KOC,Beauty,Video,"23,000,000","9,500,000","36,111,111","60,185,185","142,8k","	₫50,95tr",,,,,,,,,,,,,,,,,,
#REF!,https://www.tiktok.com/@quinskincareholic,,quinskincareholic,"60,000,000",Top KOC,Beauty,Video,"35,000,000","10,000,000","50,000,000","83,333,333","194,2k","2,11 tỉ",,,,,,,,,,,,,,,,,,
#REF!,https://www.tiktok.com/@sumspace.vn,,sumspace.vn,"50,000,000",Top KOC,Beauty,Video,"30,000,000","15,000,000","50,000,000","83,333,333",,,,,,,,,,,,,,,,,,,,
#REF!,https://www.tiktok.com/@im.lukedo,,im.lukedo,"61,000,000",Top KOC,Beauty,Video,"40,000,000","15,000,000","61,111,111","94,017,094",,,,,,,,,,,,,,,,,,,,
#REF!,https://www.tiktok.com/@baclynne,,baclynne,"45,000,000",Top KOC,Beauty,Video,"5,000,000","30,000,000","38,888,889","64,814,815",,,,,,,,,,,,,,,,,,,,
#REF!,https://www.tiktok.com/@mai.trinh.h,,mai.trinh.h,"30,000,000",Top KOC,Beauty,Video,"20,000,000",,"22,222,222","37,037,037",,,,,không bán quyền SDHA,,,,,,,,,,,,,,,
#REF!,https://www.tiktok.com/@drquangho,,drquangho,"35,000,000",Top KOC,Beauty,Video,"20,000,000","5,000,000","27,777,778","46,296,296","140,7k","163,25M",,,,,,,,,,,,,,,,,,
#REF!,https://www.tiktok.com/@quinskincareholic,,quinskincareholic,"57,000,000 ₫",Top KOC,Beauty,Video,"35,000,000","10,000,000","50,000,000","83,333,333","194,8K","2,07B",,,,,,,,,,,,,,,,,,
#REF!,https://www.tiktok.com/@thuuyen1402,,thuuyen1402,"35,000,000 ₫",Top KOC,Beauty,Video,,,,0,"636,3K","247,6M",,,,,,,,,,,,,,,,,,
#REF!,https://www.tiktok.com/@hoangminhngoc21,,hoangminhngoc21,"60,000,000 ₫",Top KOC,Beauty,Video,"35,000,000","13,000,000","53,333,333","88,888,889","1,1M","3,68M",,,,,,,,,,,,,,,,,,
#REF!,https://www.tiktok.com/@emlyreview,,emlyreview,,Top KOC,Beauty,Video,,,,0,"572,2K",0,,,,,,,,,,,,,,,,,,
#REF!,https://www.tiktok.com/@ciaramakeup2003,,ciaramakeup2003,"75,000,000 ₫",Top KOC,Beauty,Video,,,,0,"1,3M","64,86M",,,,,,,,,,,,,,,,,,
#REF!,https://www.tiktok.com/@tizine.official,,tizine.official,,Top KOC,Beauty,Video,,,,0,"391,3K","313,47M",,,,,,,,,,,,,,,,,,
#REF!,https://www.tiktok.com/@_halytran_,,_halytran_,"36,000,000 ₫",Top KOC,Beauty,Video,,,,0,"410,9K","267,40M",,,,,,,,,,,,,,,,,,
#REF!,https://www.tiktok.com/@vithanhle308,,vithanhle308,,Top KOC,Beauty,Video,,,,0,"933,5K","33,38M",,,,,,,,,,,,,,,,,,
#REF!,https://www.tiktok.com/@chumacthuyquynh,,chumacthuyquynh,"28,000,000 ₫",Top KOC,Beauty,Video,"15,000,000",,"16,666,667","27,777,778",503K,0,,,,,,,,,,,,,,,,,,
#REF!,https://www.tiktok.com/@nguyetbusine,,nguyetbusine,"25,000,000 ₫",Top KOC,Beauty,Video,"12,000,000","5,000,000","18,888,889","31,481,481","218,1K","313,41M",,,,,,,,,,,,,,,,,,
#REF!,https://www.tiktok.com/@imcravingsushi,,imcravingsushi,,Top KOC,Beauty,Video,,,,0,315.4K,125.83M,,,,,,,,,,,,,,,,,,
#REF!,https://www.tiktok.com/@jolly011009,,jolly011009,,Top KOC,Beauty,Video,,,,0,765.8K,434.69M,,,,,,,,,,,,,,,,,,
#REF!,https://www.tiktok.com/@rbyhaan,,rbyhaan,,Top KOC,Beauty,Video,,,,0,754.6K,27.82M,,,,,,,,,,,,,,,,,,
#REF!,https://www.tiktok.com/@luuppiittaa,,luuppiittaa,,Top KOC,Beauty,Video,,,,0,385K,90.76M,,,,,,,,,,,,,,,,,,
#REF!,https://www.tiktok.com/@trieuvi209,,trieuvi209,"45,000,000 ₫",Top KOC,Beauty,Video,,,,0,1M,86.7M,,,,,,,,,,,,,,,,,,
#REF!,https://www.tiktok.com/@tuyenminhbe,,tuyenminhbe,"23,000,000 ₫",Massive KOC,Beauty,Video,,,,0,219.2K,39.69M,,,,,,,,,,,,,,,,,,
#REF!,https://www.tiktok.com/@lynsyouth.me,,lynsyouth.me,,Massive KOC,Beauty,Video,,,,0,"190,5K","261,67M",,,,,,,,,,,,,,,,,,
#REF!,https://www.tiktok.com/@quynhriviu_,,quynhriviu_,"8,500,000 ₫",Massive KOC,Beauty,Video,"6,000,000",,"6,666,667","11,111,111",177.4K,"54,39M",,,,,,,,,,,,,,,,,,
#REF!,https://www.tiktok.com/@lanh.skin,,lanh.skin,"1,500,000 ₫",Massive KOC,Beauty,Video,"850,000",,"850,000","1,416,667",42.4K,0,,,,,,,,,,,,,,,,,,
#REF!,https://www.tiktok.com/@xuxurv,,xuxurv,"2,000,000 ₫",Massive KOC,Beauty,Video,"2,000,000",,"2,000,000","3,333,333",183.3K,"2,45M",,,,,,,,,,,,,,,,,,
#REF!,https://www.tiktok.com/@bui_nhaaaaa1107,,bui_nhaaaaa1107,"3,000,000 ₫",Massive KOC,Beauty,Video,,,,0,35K,"10,98M",,,,,,,,,,,,,,,,,,
#REF!,https://www.tiktok.com/@vukhanhlinh2003,,vukhanhlinh2003,"15,000,000 ₫",Massive KOC,Beauty,Video,"8,000,000",,"8,888,889","14,814,815",182K,"24,08M",,,,,,,,,,,,,,,,,,
#REF!,https://www.tiktok.com/@yahanlh,,yahanlh,,Massive KOC,Beauty,Video,,,,0,"21,5K",70.27M,,,,,,,,,,,,,,,,,,
#REF!,https://www.tiktok.com/@tramanh_ngdo,,tramanh_ngdo,,Massive KOC,Beauty,Video,,,,0,"148,5K","6,6M",,,,,,,,,,,,,,,,,,
#REF!,https://www.tiktok.com/@congchuakhine,,congchuakhine,,Massive KOC,Beauty,Video,,,,0,"169,5K","129,71M",,,,,,,,,,,,,,,,,,
#REF!,https://www.tiktok.com/@plynn99,,plynn99,,Massive KOC,Beauty,Video,,,,0,"276,5K","86,83M",,,,,,,,,,,,,,,,,,
#REF!,https://www.tiktok.com/@vittien_woo,,vittien_woo,"10,000,000 ₫",Massive KOC,Beauty,Video,,,,0,"101,9K","22,01M",,,,,,,,,,,,,,,,,,
#REF!,https://www.tiktok.com/@khanh_hue_beauty,,khanh_hue_beauty,"25,000,000 ₫",Massive KOC,Beauty,Video,,,,0,"96,8K","931,90M",,,,,,,,,,,,,,,,,,
#REF!,https://www.tiktok.com/@thothichthuu,,thothichthuu,,Massive KOC,Beauty,Video,,,,0,15K,"56,44M",,,,,,,,,,,,,,,,,,
#REF!,https://www.tiktok.com/@tucanhhoa_,,tucanhhoa_,,Massive KOC,Beauty,Video,,,,0,246K,0,,,,,,,,,,,,,,,,,,
#REF!,https://www.tiktok.com/@le.hkhanh,,le.hkhanh,"28,000,000 ₫",Massive KOC,Beauty,Video,,,,0,"135,1K",0,,,,,,,,,,,,,,,,,,
#REF!,https://www.tiktok.com/@gnouh1905,,gnouh1905,,Massive KOC,Beauty,Video,,,,0,"326,8K","74,79M",,,,,,,,,,,,,,,,,,
#REF!,https://www.tiktok.com/@maichennn,,maichennn,"26,000,000 ₫",Massive KOC,Beauty,Video,,,,0,"110,8K",0,,,,,,,,,,,,,,,,,,
#REF!,https://www.tiktok.com/@beachmakeup,,beachmakeup,,Massive KOC,Beauty,Video,,,,0,95k,"₫154,55tr",,,,,,,,,,,,,,,,,,
#REF!,https://www.tiktok.com/@gabon2699,,gabon2699,,Massive KOC,Beauty,Video,,,,0,"110,5K",0,,,,,,,,,,,,,,,,,,
#REF!,https://www.tiktok.com/@minhhuyendayroi,,minhhuyendayroi,"10,000,000 ₫",Massive KOC,Beauty,Video,,,,0,161K,62M,,,,,,,,,,,,,,,,,,
#REF!,https://www.tiktok.com/@khietnhinhi,,khietnhinhi,,Massive KOC,Beauty,Video,,,,0,83.1K,237.09M,,,,,,,,,,,,,,,,,,
#REF!,https://www.tiktok.com/@_limzii,,_limzii,,Massive KOC,Beauty,Video,,,,0,"149,5K",16.91M,,,,,,,,,,,,,,,,,,
#REF!,https://www.tiktok.com/@luonglee1404,,luonglee1404,,Massive KOC,Beauty,Video,,,,0,85.1K,82.62M,,,,,,,,,,,,,,,,,,
#REF!,https://www.tiktok.com/@dahohah,,dahohah,"6,000,000 ₫",Massive KOC,Beauty,Video,,,,0,"74,6K",407.32M,,,,,,,,,,,,,,,,,,
#REF!,https://www.tiktok.com/@yiukan_,,yiukan_,,Massive KOC,Beauty,Video,,,,0,"89,1K","10,82M",,,,,,,,,,,,,,,,,,
#REF!,https://www.tiktok.com/@1mixinhxinh_,,1mixinhxinh_,,Massive KOC,Beauty,Video,,,,0,21K,"47,67M",,,,,,,,,,,,,,,,,,
